# JianYing Cloud Sound Effects Library
# AI Guidance: Use 'effect_id' to reference. If not in cache, ask user to 'Sync Music' or use cloud API.
# Schema: identifier,title,duration_s,categories
effect_id,title,duration_s,categories
7330113401856724239,Gentle and pop marimba BGM(1040887),64.7,热门
7135753343380606242,Windows 开机,3.87,热门
7603320679395642643,“wei 咻！”,5.07,热门
7604693710638452004,一大群人笑,3.03,热门
7605852179731074358,俏皮弹跳吉他2,6.13,热门
7605846156651908406,俏皮弹跳弦乐12,2.17,热门
7605849976815586603,刮擦嘎吱声5,1.13,热门
7605849069864357139,剧场观众笑声4,27.4,热门
7605848259264810246,卡通低落木琴3,4.73,热门
7605852021257735487,卡通吱呀放屁声1,0.4,热门
7605851556579233060,卡通搞怪马叫声61,4.4,热门
7605849812646366505,卡通昆虫跑跳声6,5.73,热门
7605852562104929599,卡通滑稽下行3,1.03,热门
7605852771241282835,卡通滑稽咚声1,1.83,热门
7605851082220227894,卡通滑稽鼓点2,5.63,热门
7605847569352150278,卡通玩具手风琴音效2,4.2,热门
7605852917416938788,卡通男孩I got it,0.87,热门
7605845671589023018,卡通能量下滑呼呼声218,2.63,热门
7603320591747271999,女生大笑,5.07,热门
7605852073720155398,室内拍手音效3,0.97,热门
7605847357212626239,小提琴疑问,0.6,热门
7605847529942568246,少女清脆笑声40,1.13,热门
7605852749409832228,深沉滚雷烟花1,6.17,热门
7605853960552860964,清脆掌掴音效2,1.0,热门
7605854542688767275,火箭烟花升空16,0.7,热门
7605853715756518692,烟花发射音效9,1.03,热门
7605854488569580843,烟花火星声2,7.6,热门
7605852222533995839,烟花炸裂声8,1.63,热门
7605852687803993380,烟花爆炸音效19,1.73,热门
7605851085869206790,烟花爆裂音效10,2.0,热门
7605852135472909604,烟花玫瑰蕾旋转火花7,6.03,热门
7605854493942517034,烟花蛇形烟雾噼啪声1,7.2,热门
7605853474261044543,烟花闪光噼啪声3,33.53,热门
7605852650952772906,瓶式火箭发射9,0.57,热门
7605852749409848612,瓶火箭发射10,1.07,热门
7604694824037387563,甜美女声“你脑子呢？”,3.03,热门
7603321777284009258,疑惑“嗯？”,5.07,热门
7605852475454737700,科技提示音效,1.07,热门
7605846269457632548,综艺俏皮木琴1,1.63,热门
7605849080589258020,老年男性洪亮笑声47,3.3,热门
7605848729408654634,闪亮登场音效A,2.07,热门
7604694255688273195,需要为您刚才的发言叫辆救护车吗？,3.03,热门
