id,name,type,duration,url
14246675,unknown,camera-movement,0,
14246677,SmartMotionI,camera-movement,0,
28175546,LensLock_face_skeleton,camera_tracking,0,
28175562,unknown,camera_tracking,0,
29761512,LensLock_detection_Algo,camera_tracking,0,
6969198138909363492,复古 电视故障雪花屏转场背景,unknown,0,
6969198370221018382,故障雪花屏,unknown,1000,https://v26-artist.vlabvod.com/cbc255fb2a7bf5483b2d9776949ba75b/69b128bd/video/tos/cn/tos-cn-v-436d67/c9fc200f5f7546b48ced105101fa7fda/?a=4066&ch=0&cr=0&dr=0&er=0&cd=0%7C0%7C0%7C0&br=350&bt=350&cs=0&ds=3&ft=yg8SInYYwAGRXbMxqfuJwFU268agO29BM5ThRiZcEnJNR7mmlNzt_Nqq0D6UxMf&mime_type=video_mp4&qs=0&rc=NDRkNTU0OTc1aDc8MzRpaUBpanI2NWl4b3JzNTMzNDZlM0AvYTAyLmEvNWIxMGBiX14yYSNtcXBxbWJpNm9gLS1kYC9zcw%3D%3D&btag=c0000e00008000&dy_q=1772613180&l=20260304163259102D8CF1272B8DAF2715
6969198370221034766,故障雪花屏,unknown,1000,https://v26-artist.vlabvod.com/85b8fc36d7d59a8e59777c7324a56f79/69b128bd/video/tos/cn/tos-cn-v-436d67/9a1d0851ad1347409a1efedb53b23698/?a=4066&ch=0&cr=0&dr=0&er=0&cd=0%7C0%7C0%7C0&br=397&bt=397&cs=0&ds=3&ft=yg8SInYYwAGRXbMxqfuJwFU268agO29BM5ThRiZcEnJNR7mmlNzt_Nqq0D6UxMf&mime_type=video_mp4&qs=0&rc=OzMzPDs4ZTwzMzRkMzVlZkBpanByc2t5ZnlzNTMzNDZlM0A0YTReMy4vNWAxYGAzNV9jYSMzaGFeX2FlNm9gLS1kYC9zcw%3D%3D&btag=c0000e00008000&dy_q=1772613180&l=20260304163259102D8CF1272B8DAF2715
6969198833926491428,复古 故障雪花屏,unknown,1000,https://v26-artist.vlabvod.com/be03c1b60a6d49098717755125ba3efb/69b128c0/video/tos/cn/tos-cn-v-436d67/17d347df100c482896b63902d8e19ae3/?a=4066&ch=0&cr=0&dr=0&er=0&cd=0%7C0%7C0%7C0&br=579&bt=579&cs=0&ds=3&ft=yg8SInYYwAGRXbMxqfuJwFU268agD29BM5ThRiZcEnJNR7mmlNzt_Nqq0D6UxMf&mime_type=video_mp4&qs=0&rc=ZGY3ZDw7ZDs3NWQ2OGdpNEBpMzhtOzd0dnJzNTMzNDZlM0BgMS5iXy9jNi0xYWBjYi9hYSNnNTRkcWBrNm9gLS1kYC9zcw%3D%3D&btag=c0000e00008000&dy_q=1772613183&l=20260304163303714D3E93D5CE940C230E
6969200519621528869,潮酷片头 手机充电完成界面,unknown,0,
6969200708755229988,简约片头 vlog文字,unknown,0,
6969200708755279140,潮酷片头 loading界面加载中,unknown,3000,https://v6-artist.vlabvod.com/92b291f07c594270382f19d94b6192a8/69b128cd/video/tos/cn/tos-cn-ve-3011c800/b69c0f2e1f894adc906552b625f2414e/?a=4066&ch=0&cr=0&dr=0&er=0&cd=0%7C0%7C0%7C0&br=1061&bt=1061&cs=0&ds=1&ft=yg8SInYYwAGRXbMxqfuJwFU268agZn9BM5ThRiZcEnJNR7mmlNzt_Nqq0D6UxMf&mime_type=video_mp4&qs=0&rc=aWg2OzY6aDUzOzdlaDxoM0BpamptbHE4OnVzNTMzNDZlM0A2MmI1LS9gNjExYzUzXjYzYSNoNjVnZGFvYG9gLS1kYC9zcw%3D%3D&btag=c0000e00008000&dy_q=1772613194&l=20260304163313712D460A87C93AA1D9B7
6969200777839578375,简约风 3秒倒计时,unknown,0,
6969200777839594759,科技风片头loading界面加载中,unknown,4000,https://v26-artist.vlabvod.com/f02d9e7159fef26916eb461df6f4e995/69b128c2/video/tos/cn/tos-cn-ve-3011c800/d120931402f447fda2baa9c6a35d158d/?a=4066&ch=0&cr=0&dr=0&er=0&cd=0%7C0%7C0%7C0&br=141&bt=141&cs=0&ds=1&ft=yg8SInYYwAGRXbMxqfuJwFU268agD29BM5ThRiZcEnJNR7mmlNzt_Nqq0D6UxMf&mime_type=video_mp4&qs=0&rc=ZGRnZzM8ZmU3aDo3ZTZlNkBpanYzdzo3N3ZzNTMzNDZlM0A2LmE0NmFhNmAxY18wMzJeYSNxbXE1MHExYG9gLS1kYC9zcw%3D%3D&btag=c0000e00008000&dy_q=1772613183&l=20260304163303714D3E93D5CE940C230E
6969200777948564744,简约 vlog文字片头，分享喜欢,unknown,0,
6969200965572447524,复古3秒倒计时片头转场,unknown,2000,https://v6-artist.vlabvod.com/ee985ae892c19483abb40addb4740e55/69b128cc/video/tos/cn/tos-cn-v-436d67/f223c1c1063c446480385a260529a4ea/?a=4066&ch=0&cr=0&dr=0&er=0&cd=0%7C0%7C0%7C0&br=1432&bt=1432&cs=0&ds=3&ft=yg8SInYYwAGRXbMxqfuJwFU268agZn9BM5ThRiZcEnJNR7mmlNzt_Nqq0D6UxMf&mime_type=video_mp4&qs=0&rc=MzY8NDw1NDY2OWc1NGllNUBpand0O3g2ZHVzNTMzNDZlM0BjNS8uNF9gXmIxLTA1LzYuYSMuX15gM19uYG9gLS1kYC9zcw%3D%3D&btag=c0000e00008000&dy_q=1772613194&l=20260304163313712D460A87C93AA1D9B7
6969201044416941342,潮酷 片头loading界面加载中,unknown,0,
