identifier,category,enum_type,description
冲屏位移,Text Animations,TextIntro,Free
卡拉OK,Text Animations,TextIntro,Free
变色输入,Text Animations,TextIntro,Free
右上弹入,Text Animations,TextIntro,Free
右下擦开,Text Animations,TextIntro,Free
向上擦除,Text Animations,TextIntro,Free
向上滑动,Text Animations,TextIntro,Free
向上翻转,Text Animations,TextIntro,Free
向上重叠,Text Animations,TextIntro,Free
向上露出,Text Animations,TextIntro,Free
向下擦除,Text Animations,TextIntro,Free
向下滑动,Text Animations,TextIntro,Free
向下露出,Text Animations,TextIntro,Free
向下飞入,Text Animations,TextIntro,Free
向右擦除,Text Animations,TextIntro,Free
向右滑动,Text Animations,TextIntro,Free
向右缓入,Text Animations,TextIntro,Free
向右集合,Text Animations,TextIntro,Free
向右露出,Text Animations,TextIntro,Free
向左擦除,Text Animations,TextIntro,Free
向左滑动,Text Animations,TextIntro,Free
向左露出,Text Animations,TextIntro,Free
圆形扫描,Text Animations,TextIntro,Free
复古打字机,Text Animations,TextIntro,Free
居中打字,Text Animations,TextIntro,Free
左上弹入,Text Animations,TextIntro,Free
左移弹动,Text Animations,TextIntro,Free
开幕,Text Animations,TextIntro,Free
弹入,Text Animations,TextIntro,Free
弹弓,Text Animations,TextIntro,Free
弹性伸缩,Text Animations,TextIntro,Free
弹簧,Text Animations,TextIntro,Free
彩色映射,Text Animations,TextIntro,Free
打字机_I,Text Animations,TextIntro,Free
打字机_II,Text Animations,TextIntro,Free
打字机_III,Text Animations,TextIntro,Free
打字机IV,Text Animations,TextIntro,Free
扭曲模糊,Text Animations,TextIntro,Free
拖尾,Text Animations,TextIntro,Free
收拢,Text Animations,TextIntro,Free
放大,Text Animations,TextIntro,Free
故障打字机,Text Animations,TextIntro,Free
旋入,Text Animations,TextIntro,Free
日出,Text Animations,TextIntro,Free
晕开,Text Animations,TextIntro,Free
模糊,Text Animations,TextIntro,Free
水墨晕开,Text Animations,TextIntro,Free
水平翻转,Text Animations,TextIntro,Free
波浪弹入,Text Animations,TextIntro,Free
渐显,Text Animations,TextIntro,Free
溶解,Text Animations,TextIntro,Free
滑动上升,Text Animations,TextIntro,Free
生长,Text Animations,TextIntro,Free
甩出,Text Animations,TextIntro,Free
站起,Text Animations,TextIntro,Free
缩小,Text Animations,TextIntro,Free
缩小_II,Text Animations,TextIntro,Free
羽化向右擦开,Text Animations,TextIntro,Free
羽化向左擦开,Text Animations,TextIntro,Free
翻动,Text Animations,TextIntro,Free
轻微放大,Text Animations,TextIntro,Free
逐字旋转,Text Animations,TextIntro,Free
逐字显影,Text Animations,TextIntro,Free
逐字翻转,Text Animations,TextIntro,Free
闪动,Text Animations,TextIntro,Free
随机弹跳,Text Animations,TextIntro,Free
随机飞入,Text Animations,TextIntro,Free
乱码故障,Text Animations,TextIntro,Free
二段缩放,Text Animations,TextIntro,Free
便利贴,Text Animations,TextIntro,Free
倒数,Text Animations,TextIntro,Free
兔子弹跳,Text Animations,TextIntro,Free
冰雪飘动,Text Animations,TextIntro,Free
发光模糊,Text Animations,TextIntro,Free
发光闪入,Text Animations,TextIntro,Free
叠影并入,Text Animations,TextIntro,Free
向上弹入,Text Animations,TextIntro,Free
向下溶解,Text Animations,TextIntro,Free
向右模糊_II,Text Animations,TextIntro,Free
向左模糊,Text Animations,TextIntro,Free
吸入,Text Animations,TextIntro,Free
呐喊声波,Text Animations,TextIntro,Free
喷绘,Text Animations,TextIntro,Free
圆柱体滚动,Text Animations,TextIntro,Free
