identifier,category,enum_type,description
_3D空间,Transitions,TransitionType,Free
上下翻页,Transitions,TransitionType,Free
上移,Transitions,TransitionType,Free
下移,Transitions,TransitionType,Free
中心旋转,Transitions,TransitionType,Free
云朵,Transitions,TransitionType,Free
倒影,Transitions,TransitionType,Free
冰雪结晶,Transitions,TransitionType,Free
冲鸭,Transitions,TransitionType,Free
分割,Transitions,TransitionType,Free
分割_II,Transitions,TransitionType,Free
分割_III,Transitions,TransitionType,Free
分割_IV,Transitions,TransitionType,Free
前后对比_II,Transitions,TransitionType,Free
动漫云朵,Transitions,TransitionType,Free
动漫漩涡,Transitions,TransitionType,Free
动漫火焰,Transitions,TransitionType,Free
动漫闪电,Transitions,TransitionType,Free
压缩,Transitions,TransitionType,Free
叠加,Transitions,TransitionType,Free
叠化,Transitions,TransitionType,Free
右移,Transitions,TransitionType,Free
向上,Transitions,TransitionType,Free
向上擦除,Transitions,TransitionType,Free
向下,Transitions,TransitionType,Free
向下擦除,Transitions,TransitionType,Free
向下流动,Transitions,TransitionType,Free
向右,Transitions,TransitionType,Free
向右上,Transitions,TransitionType,Free
向右下,Transitions,TransitionType,Free
向右拉伸,Transitions,TransitionType,Free
向右擦除,Transitions,TransitionType,Free
向右流动,Transitions,TransitionType,Free
向左,Transitions,TransitionType,Free
向左上,Transitions,TransitionType,Free
向左下,Transitions,TransitionType,Free
向左拉伸,Transitions,TransitionType,Free
向左擦除,Transitions,TransitionType,Free
吸入,Transitions,TransitionType,Free
回忆下滑,Transitions,TransitionType,Free
圆形分割_II,Transitions,TransitionType,Free
圆形扫描,Transitions,TransitionType,Free
圆形遮罩,Transitions,TransitionType,Free
圆形遮罩_II,Transitions,TransitionType,Free
复古放映,Transitions,TransitionType,Free
岁月的痕迹,Transitions,TransitionType,Free
左下角_II,Transitions,TransitionType,Free
左移,Transitions,TransitionType,Free
开幕,Transitions,TransitionType,Free
弹幕转场,Transitions,TransitionType,Free
弹跳,Transitions,TransitionType,Free
快门,Transitions,TransitionType,Free
打板转场_I,Transitions,TransitionType,Free
打板转场_II,Transitions,TransitionType,Free
抖动,Transitions,TransitionType,Free
抖动_II,Transitions,TransitionType,Free
抠像旋转,Transitions,TransitionType,Free
拉伸,Transitions,TransitionType,Free
拉伸_II,Transitions,TransitionType,Free
拉远,Transitions,TransitionType,Free
拍摄器,Transitions,TransitionType,Free
推近,Transitions,TransitionType,Free
撕纸拉屏,Transitions,TransitionType,Free
放射,Transitions,TransitionType,Free
故障,Transitions,TransitionType,Free
故障拼贴,Transitions,TransitionType,Free
斜向分割,Transitions,TransitionType,Free
星星,Transitions,TransitionType,Free
星星_II,Transitions,TransitionType,Free
模糊,Transitions,TransitionType,Free
横向分割,Transitions,TransitionType,Free
横向拉幕,Transitions,TransitionType,Free
横向模糊,Transitions,TransitionType,Free
横线,Transitions,TransitionType,Free
气泡转场,Transitions,TransitionType,Free
水波卷动,Transitions,TransitionType,Free
水波向右,Transitions,TransitionType,Free
水波向左,Transitions,TransitionType,Free
泛光,Transitions,TransitionType,Free
泛白,Transitions,TransitionType,Free
波点向右,Transitions,TransitionType,Free
渐变擦除,Transitions,TransitionType,Free
滑动,Transitions,TransitionType,Free
漩涡,Transitions,TransitionType,Free
烟雾转场,Transitions,TransitionType,Free
爱心,Transitions,TransitionType,Free
爱心_II,Transitions,TransitionType,Free
爱心上升,Transitions,TransitionType,Free
电视故障_I,Transitions,TransitionType,Free
电视故障_II,Transitions,TransitionType,Free
画笔擦除,Transitions,TransitionType,Free
白光快闪,Transitions,TransitionType,Free
白色墨花,Transitions,TransitionType,Free
白色烟雾,Transitions,TransitionType,Free
百叶窗,Transitions,TransitionType,Free
眨眼,Transitions,TransitionType,Free
矩形分割,Transitions,TransitionType,Free
窗格,Transitions,TransitionType,Free
立方体,Transitions,TransitionType,Free
竖向分割,Transitions,TransitionType,Free
竖向拉幕,Transitions,TransitionType,Free
竖向模糊,Transitions,TransitionType,Free
竖向模糊_II,Transitions,TransitionType,Free
竖线,Transitions,TransitionType,Free
箭头向右,Transitions,TransitionType,Free
粒子,Transitions,TransitionType,Free
翻篇,Transitions,TransitionType,Free
翻页,Transitions,TransitionType,Free
色差逆时针,Transitions,TransitionType,Free
色差顺时针,Transitions,TransitionType,Free
色彩溶解,Transitions,TransitionType,Free
色彩溶解_II,Transitions,TransitionType,Free
色彩溶解_III,Transitions,TransitionType,Free
蓝色线条,Transitions,TransitionType,Free
逆时针旋转,Transitions,TransitionType,Free
逆时针旋转_II,Transitions,TransitionType,Free
镜像翻转,Transitions,TransitionType,Free
闪白,Transitions,TransitionType,Free
闪白_II,Transitions,TransitionType,Free
闪黑,Transitions,TransitionType,Free
雪花故障,Transitions,TransitionType,Free
雾化,Transitions,TransitionType,Free
震动,Transitions,TransitionType,Free
顺时针旋转,Transitions,TransitionType,Free
顺时针旋转_II,Transitions,TransitionType,Free
频闪,Transitions,TransitionType,Free
风车,Transitions,TransitionType,Free
马赛克,Transitions,TransitionType,Free
黑色块,Transitions,TransitionType,Free
黑色烟雾,Transitions,TransitionType,Free
_2024回忆流,Transitions,TransitionType,Free
X形震闪,Transitions,TransitionType,Free
万花筒,Transitions,TransitionType,Free
三屏放大,Transitions,TransitionType,Free
三屏滑入,Transitions,TransitionType,Free
三屏闪切,Transitions,TransitionType,Free
下滑,Transitions,TransitionType,Free
中心切开,Transitions,TransitionType,Free
二次元烟效,Transitions,TransitionType,Free
云朵_II,Transitions,TransitionType,Free
亮点模糊,Transitions,TransitionType,Free
便利贴,Transitions,TransitionType,Free
信号故障,Transitions,TransitionType,Free
信号故障_II,Transitions,TransitionType,Free
倾斜拉伸,Transitions,TransitionType,Free
倾斜拉开,Transitions,TransitionType,Free
倾斜模糊,Transitions,TransitionType,Free
像素冲屏,Transitions,TransitionType,Free
全息投影,Transitions,TransitionType,Free
六边形变焦,Transitions,TransitionType,Free
冲屏扭曲,Transitions,TransitionType,Free
几何分割,Transitions,TransitionType,Free
几何滑动,Transitions,TransitionType,Free
分屏下滑,Transitions,TransitionType,Free
前后对比,Transitions,TransitionType,Free
剧烈摇晃,Transitions,TransitionType,Free
卡片弹出,Transitions,TransitionType,Free
发光变焦,Transitions,TransitionType,Free
叠化扭曲,Transitions,TransitionType,Free
可爱爆炸,Transitions,TransitionType,Free
可爱龙龙,Transitions,TransitionType,Free
吃掉,Transitions,TransitionType,Free
后台切换,Transitions,TransitionType,Free
向上波动,Transitions,TransitionType,Free
向下抖动,Transitions,TransitionType,Free
向下拖拽,Transitions,TransitionType,Free
向左拉屏,Transitions,TransitionType,Free
向左波动,Transitions,TransitionType,Free
喜欢,Transitions,TransitionType,Free
四屏转换,Transitions,TransitionType,Free
四格展开,Transitions,TransitionType,Free
回忆,Transitions,TransitionType,Free
回忆_II,Transitions,TransitionType,Free
回忆拉屏,Transitions,TransitionType,Free
回忆拉屏_II,Transitions,TransitionType,Free
图片放大,Transitions,TransitionType,Free
圆形分割,Transitions,TransitionType,Free
圆盘旋转,Transitions,TransitionType,Free
圣诞光斑,Transitions,TransitionType,Free
圣诞光斑II,Transitions,TransitionType,Free
圣诞树,Transitions,TransitionType,Free
圣诞礼盒,Transitions,TransitionType,Free
复古漏光,Transitions,TransitionType,Free
复古漏光_II,Transitions,TransitionType,Free
复古胶片,Transitions,TransitionType,Free
多层环形,Transitions,TransitionType,Free
多屏定格,Transitions,TransitionType,Free
大圆盘,Transitions,TransitionType,Free
大波浪,Transitions,TransitionType,Free
字母拼贴,Transitions,TransitionType,Free
射灯,Transitions,TransitionType,Free
小喇叭,Transitions,TransitionType,Free
小恶魔,Transitions,TransitionType,Free
左移弹动,Transitions,TransitionType,Free
幻影,Transitions,TransitionType,Free
幻觉,Transitions,TransitionType,Free
开心,Transitions,TransitionType,Free
弹出,Transitions,TransitionType,Free
弹动发光,Transitions,TransitionType,Free
彩色像素,Transitions,TransitionType,Free
彩色滑片,Transitions,TransitionType,Free
往上翻页,Transitions,TransitionType,Free
微抖动,Transitions,TransitionType,Free
心形叠化,Transitions,TransitionType,Free
快涂擦除,Transitions,TransitionType,Free
快速缩放,Transitions,TransitionType,Free
快速震闪,Transitions,TransitionType,Free
惊悚屏闪,Transitions,TransitionType,Free
手机屏放大,Transitions,TransitionType,Free
扫光,Transitions,TransitionType,Free
扭曲弹动,Transitions,TransitionType,Free
扭曲旋入,Transitions,TransitionType,Free
扭曲溶解,Transitions,TransitionType,Free
扭转弹动,Transitions,TransitionType,Free
抖动放大,Transitions,TransitionType,Free
抖动缩小,Transitions,TransitionType,Free
抖动缩小_II,Transitions,TransitionType,Free
折痕胶带,Transitions,TransitionType,Free
拉开,Transitions,TransitionType,Free
拉框入屏,Transitions,TransitionType,Free
挤压分屏,Transitions,TransitionType,Free
推近_II,Transitions,TransitionType,Free
推远_II,Transitions,TransitionType,Free
摄像机,Transitions,TransitionType,Free
摇晃描边,Transitions,TransitionType,Free
摇晃震动,Transitions,TransitionType,Free
摇镜,Transitions,TransitionType,Free
撕纸,Transitions,TransitionType,Free
撕纸掉落,Transitions,TransitionType,Free
收缩抖动,Transitions,TransitionType,Free
放大左移,Transitions,TransitionType,Free
放大镜,Transitions,TransitionType,Free
故障扫描,Transitions,TransitionType,Free
故障模糊,Transitions,TransitionType,Free
斜向模糊,Transitions,TransitionType,Free
斜向闪光,Transitions,TransitionType,Free
斜线翻页,Transitions,TransitionType,Free
新篇章,Transitions,TransitionType,Free
新篇章_II,Transitions,TransitionType,Free
方形分割,Transitions,TransitionType,Free
方形变焦,Transitions,TransitionType,Free
方形模糊,Transitions,TransitionType,Free
方形模糊_II,Transitions,TransitionType,Free
方片翻转,Transitions,TransitionType,Free
旋焦,Transitions,TransitionType,Free
旋转圆球,Transitions,TransitionType,Free
旋转圆盘,Transitions,TransitionType,Free
旋转圆盘_II,Transitions,TransitionType,Free
旋转快门,Transitions,TransitionType,Free
旋转拨盘,Transitions,TransitionType,Free
旋转模糊,Transitions,TransitionType,Free
旋转穿越,Transitions,TransitionType,Free
旋转纵深,Transitions,TransitionType,Free
旋转翻页,Transitions,TransitionType,Free
旋转震动,Transitions,TransitionType,Free
无缝撕裂,Transitions,TransitionType,Free
无限穿越_I,Transitions,TransitionType,Free
无限穿越_II,Transitions,TransitionType,Free
日历转场,Transitions,TransitionType,Free
时光穿梭,Transitions,TransitionType,Free
星光,Transitions,TransitionType,Free
星光叠化,Transitions,TransitionType,Free
星光炸开,Transitions,TransitionType,Free
星星_III,Transitions,TransitionType,Free
星星变焦,Transitions,TransitionType,Free
星星吸入,Transitions,TransitionType,Free
星星模糊,Transitions,TransitionType,Free
春日光斑,Transitions,TransitionType,Free
暧昧光晕,Transitions,TransitionType,Free
曝光拉丝,Transitions,TransitionType,Free
曝光摇镜,Transitions,TransitionType,Free
未来光谱,Transitions,TransitionType,Free
