# JianYing TTS Speakers Library
# AI Guidance: Use speaker_id with TTS APIs or wrapper methods for voice generation.
# Schema: speaker_id,name_hint,categories
speaker_id,name_hint,categories
zh_female_xiaopengyou,小孩,tts|热门
zh_male_iclvop_zhangjinxiangnanzhu,磁性男声,tts|热门
BV408_streaming,译制片男,tts|热门
zh_male_iclvop_xiaolinkepu,清亮男声,tts|热门
zh_male_sunwukong_clone2,猴哥,tts|热门
zh_male_xionger_stream_gpu,熊二,tts|热门
BV411_streaming,解说小帅,tts|热门
ICL_zh_female_basidigua2,甜美女声,tts|热门
BV701_streaming,沉稳解说,tts|热门
BV005_streaming,娱乐扒妹,tts|热门
zh_female_yingtiannini,蜡笔小妮,tts|热门
zh_female_inspirational,温柔姐姐,tts|热门
zh_male_zhengtaikp,萌娃百科,tts|热门
BV001_fast_streaming,小姐姐,tts|热门
BV414_streaming,赛事解说,tts|热门
BV433_streaming,电视广告,tts|热门
zh_male_novel_clone2,古风男主,tts|热门
zh_female_ziwei,紫薇,tts|热门
zh_male_silang_stream_gpu,皇上,tts|热门
BV021_streaming,东北老铁,tts|热门
BV426_streaming,懒小羊,tts|热门
ICL_zh_female_jilupianxq2,端庄女声,tts|热门
BV405_streaming,甜美解说,tts|热门
zh_male_iclvop_chenxuanad,朗诵男声,tts|热门
zh_female_iclvop_zdjxsusuyule,萌萌小可酱,tts|热门
ICL_zh_female_manbo_jianying,曼波讲故事,tts|热门
BV504_streaming,Energetic Male (English),tts|热门
zh_female_iclvop_gzycwxiangling,俏皮少女,tts|热门
zh_female_peiqi,佩奇猪,tts|热门
BV056_streaming,阳光男生,tts|热门
zh_male_iclvop_miaojijsqinggan,深情男低音,tts|热门
ICL_zh_female_pangbaiyw,专题片配音,tts|热门
zh_male_taiwan_clone2,台湾男生,tts|热门
zh_female_iclvop_zdjxsusujiaomai,步行街促销女,tts|热门
BV213_streaming,广西表哥,tts|热门
zh_female_iclvop_zdjxsusukeli,娱乐小喇叭,tts|热门
BV430_streaming,容嬷嬷,tts|热门
BV409_streaming,TVB女声,tts|热门
BV064_streaming,小女孩,tts|热门
zh_female_iclvop_zdjxsmmguwen,古文朗诵,tts|热门
en_female_kat_clone2,英语女王,tts|热门
zh_female_aoyunliuyuxi,刘语熙,tts|热门
BV144_streaming,咆哮哥,tts|热门
ICL_zh_male_qinggandiantai,情感频道,tts|热门
zh_female_ganmaodianyin,感冒电音,tts|热门
BV403_streaming,心灵鸡汤,tts|热门
zh_female_iclvop_dzyboyin,新闻女主播,tts|热门
zh_female_iclvop_gzylxjasmr,低声耳语,tts|热门
BV002_streaming,新闻男声,tts|热门
ICL_zh_male_jilupianjmh,激昂旁白,tts|热门
zh_male_iclvop_zdjxjamesguangbo,接地气解说,tts|热门
ICL_zh_female_feihuahua,肥花花姐姐,tts|热门
BV007_streaming,亲切女声,tts|热门
zh_male_iclvop_zhanghangxiaoshuo,新闻男主播,tts|热门
zh_male_iclvop_gzywzqyinrounan,阴柔霸气男,tts|热门
zh_male_rulaifo,如来佛祖,tts|热门
BV102_streaming,知识讲解,tts|热门
ICL_zh_female_kepumanbucuo,欢快讲解,tts|热门
ICL_zh_male_houzhongzhengqi,厚实男声,tts|热门
zh_male_iclvop_surenalongjilupian,经典旁白,tts|热门
BV011_streaming,新闻女声,tts|热门
ICL_zh_female_jilupianlxj3,纪录片女声,tts|热门
zh_female_jiazi,做作夹子音,tts|热门
zh_male_commentate_emo_neutral,舌尖解说,tts|热门
BV009_DPE_streaming,知性女声,tts|热门
ICL_zh_male_dengxiansencx,方言吐槽,tts|热门
BV025_streaming,台湾女生,tts|热门
zh_female_f220_yule,娱乐扒妹II,tts|热门
zh_male_nezha,小魔童,tts|热门
BV051_streaming,萌娃,tts|热门
zh_male_iclvop_surenyyypeixun,企业宣讲师,tts|热门
zh_female_iclvop_zdjxdyztjilupian,温情旁白,tts|热门
zh_male_vopyounan,沉稳男声,tts|热门
ICL_zh_male_shuyisyh,温暖男声,tts|热门
zh_female_guaiqiaogirl,甜心妹妹,tts|热门
zh_male_ad,广告男声,tts|热门
zh_male_hougedaiyu,娇羞猴哥,tts|热门
zh_female_ziwei_rap,紫薇说唱,tts|热门
zh_female_chuanmei,川妹子,tts|热门
BV145_streaming,情感语录,tts|热门
zh_male_taiyizhenren,太乙,tts|热门
zh_male_iclvop_limintaodianshang,讲解男声,tts|热门
BV417_streaming,派星星,tts|热门
ICL_zh_male_momodianying,默默讲电影,tts|热门
zh_male_renmao_mars_bigtts,周星星,tts|热门
zh_male_iclvop_huaxuekepu,清爽男声,tts|热门
zh_female_iclvop_gzyxqmama,温婉女声,tts|热门
zh_male_zhubajie_clone2,八戒,tts|热门
zh_male_beautymakeup,柜哥,tts|热门
BV210_streaming,西安掌柜,tts|热门
zh_female_iclvop_zdjxsmmjiaomai,叫卖女声,tts|热门
BV050_streaming,动漫小新,tts|热门
ICL_zh_male_szrhejiaxing2_jianying,激昂男生,tts|热门
BV506_streaming,Adorable Girl (English),tts|热门
BV221_streaming,幺妹,tts|热门
zh_male_iclvop_gzyyldada,喜庆拜年娃,tts|热门
BV149_streaming,随性女声,tts|热门
zh_male_iclvop_djlticaiboyin,新闻男主播2,tts|热门
BV063_streaming,动漫海绵,tts|热门
zh_female_aoyunwuminxia,吴敏霞,tts|热门
zh_female_iclvop_zdjxsusuxiaoqiao,甜美小乔,tts|热门
ICL_zh_male_malacx,搞怪弟弟,tts|热门
ICL_zh_female_szrtangtang_jianying,生活导师,tts|热门
zh_female_meilinvyou_moon_bigtts,魅力女友,tts|热门
zh_male_sunwukong_rap,猴哥说唱,tts|热门
BV406_streaming,网文解说,tts|热门
zh_male_voplvyou,播音旁白,tts|热门
ICL_zh_male_kenanwaww_jianying,名侦探小子,tts|热门
ICL_zh_female_genzhengmiaohong,知青小红,tts|热门
BV026_streaming,粤语男声,tts|热门
BV425_streaming,黛玉,tts|热门
zh_male_iclvop_xssyhguanggao,宣传男声,tts|热门
ICL_zh_male_renji_jianying,抽象苦命音,tts|热门
zh_male_nailong,萌萌小龙,tts|热门
zh_male_iclvop_gzyzhzhengqi,壮阔旁白,tts|热门
zh_female_yqxiaokui,元气少女,tts|热门
zh_female_iclvop_xstaiyangguangbo,新闻女主播2,tts|热门
ICL_zh_male_fuheizhenjun,腹黑真君,tts|热门
ICL_zh_male_linzhijincx,耍酷解说,tts|热门
ICL_zh_female_gujiali,活泼莉莉,tts|热门
zh_male_shaonianzixin_moon_bigtts,阳光少年,tts|热门
zh_male_iclvop_xiaolinlaotou,智慧老者,tts|热门
ICL_zh_female_szrxinxin_jianying,温柔馨馨,tts|热门
ICL_zh_male_cwei2,C维游戏解说,tts|热门
zh_female_story,少儿故事,tts|热门
zh_male_iclvop_chenxuanqinggan,温柔男主,tts|热门
BV107_streaming,雅痞大叔,tts|热门
zh_female_lrltygklndxs_emo_v2_mars_bigtts,清润女声,tts|热门
zh_female_iclvop_wuxinyunvzhu,深情诉说,tts|热门
zh_female_gentlemother,观音菩萨,tts|热门
zh_male_iclvop_gzygymdudu,呆萌胖娃,tts|热门
zh_male_iclvop_chenxuankepu,科普男声,tts|热门
zh_male_iclvop_xsymzguanggao,饱满男声,tts|热门
zh_female_tianxingirl,乖巧妹妹,tts|热门
zh_male_rendongteng,纪录片解说,tts|热门
zh_male_changtianyi_xuanyi,悬疑解说,tts|热门
zh_female_diantaiguanggao,电台广播,tts|热门
zh_female_iclvop_gzycwwenrou,盐系女生,tts|热门
BV019_streaming,重庆小伙,tts|热门
zh_male_iclvop_xsfzzjiangjun,正气男声,tts|热门
zh_male_xlgaoxiaonan_emo_v2_mars_bigtts,清亮男声Pro,tts|热门
zh_male_iclvop_xsskdjieshuo,讲解旁白,tts|热门
BV214_streaming,河南大叔,tts|热门
BV427_streaming,天线波波,tts|热门
zh_male_gukongbu,恐怖电影,tts|热门
zh_female_iclvop_jiangsiqitongsheng,乖巧女孩,tts|热门
zh_male_iclvop_zhanghangyeye,和蔼爷爷,tts|热门
zh_female_guli_stream_gpu,顾姐,tts|热门
BV212_streaming,天津小哥,tts|热门
BV431_streaming_effect,威猛震天,tts|热门
BV401_streaming,促销男声,tts|热门
zh_female_iclvop_xsnanfeng,年轻主妇,tts|热门
zh_female_angela,安琦拉,tts|热门
zh_male_iclvop_gzymxyqinggan,感性磁声,tts|热门
ICL_zh_female_mizige,活泼主播,tts|热门
zh_male_iclvop_miaojijsjilupian,深沉讲述,tts|热门
BV432_streaming,云龙哥,tts|热门
BV424_streaming,靓女,tts|热门
BR001_streaming,说唱小哥,tts|热门
zh_female_linzhiling,玲玲姐姐,tts|热门
zh_female_iclvop_zdjxsusunuanuan,奇迹少女,tts|热门
ICL_zh_female_huoponvhai,活泼女孩,tts|热门
ICL_zh_female_guoyannan,情感老师,tts|热门
