identifier,category,enum_type,description
Kira游动,Video Outro Animations,OutroType,Free
冰雪融化,Video Outro Animations,OutroType,Free
向上滑动,Video Outro Animations,OutroType,Free
向上转出,Video Outro Animations,OutroType,Free
向上转出_II,Video Outro Animations,OutroType,Free
向下滑动,Video Outro Animations,OutroType,Free
向右滑动,Video Outro Animations,OutroType,Free
向左滑动,Video Outro Animations,OutroType,Free
折叠闭幕,Video Outro Animations,OutroType,Free
放大,Video Outro Animations,OutroType,Free
斜切,Video Outro Animations,OutroType,Free
旋转,Video Outro Animations,OutroType,Free
旋转闭幕,Video Outro Animations,OutroType,Free
渐隐,Video Outro Animations,OutroType,Free
漩涡旋转,Video Outro Animations,OutroType,Free
灼烧出现,Video Outro Animations,OutroType,Free
缩小,Video Outro Animations,OutroType,Free
翻出,Video Outro Animations,OutroType,Free
跳转闭幕,Video Outro Animations,OutroType,Free
轻微放大,Video Outro Animations,OutroType,Free
镜像翻转,Video Outro Animations,OutroType,Free
_2024,Video Outro Animations,OutroType,Free
_2025,Video Outro Animations,OutroType,Free
PASSION,Video Outro Animations,OutroType,Free
三屏下滑,Video Outro Animations,OutroType,Free
三屏切闪,Video Outro Animations,OutroType,Free
九宫格,Video Outro Animations,OutroType,Free
交叉震动,Video Outro Animations,OutroType,Free
交错闭幕,Video Outro Animations,OutroType,Free
侧滑,Video Outro Animations,OutroType,Free
便利贴,Video Outro Animations,OutroType,Free
冬季雪花,Video Outro Animations,OutroType,Free
冰块,Video Outro Animations,OutroType,Free
冲撞,Video Outro Animations,OutroType,Free
分屏横移,Video Outro Animations,OutroType,Free
分屏组合,Video Outro Animations,OutroType,Free
分屏翻转,Video Outro Animations,OutroType,Free
分身模糊,Video Outro Animations,OutroType,Free
划水,Video Outro Animations,OutroType,Free
区域色块滑动,Video Outro Animations,OutroType,Free
十字震动,Video Outro Animations,OutroType,Free
卡片扫光,Video Outro Animations,OutroType,Free
发光矩形,Video Outro Animations,OutroType,Free
变速扩大,Video Outro Animations,OutroType,Free
变速时空,Video Outro Animations,OutroType,Free
向上滚动,Video Outro Animations,OutroType,Free
向上闪出,Video Outro Animations,OutroType,Free
向下甩动,Video Outro Animations,OutroType,Free
四屏转换,Video Outro Animations,OutroType,Free
圆形闭幕,Video Outro Animations,OutroType,Free
多层环形,Video Outro Animations,OutroType,Free
多屏分割I,Video Outro Animations,OutroType,Free
多屏分割II,Video Outro Animations,OutroType,Free
多维空间,Video Outro Animations,OutroType,Free
幕布,Video Outro Animations,OutroType,Free
幸运圣诞树,Video Outro Animations,OutroType,Free
弹力分割,Video Outro Animations,OutroType,Free
弹远,Video Outro Animations,OutroType,Free
录像带分屏,Video Outro Animations,OutroType,Free
心形缩小,Video Outro Animations,OutroType,Free
快速翻页,Video Outro Animations,OutroType,Free
手写云朵,Video Outro Animations,OutroType,Free
扫描,Video Outro Animations,OutroType,Free
抖动变焦,Video Outro Animations,OutroType,Free
抖动横移,Video Outro Animations,OutroType,Free
折叠,Video Outro Animations,OutroType,Free
报纸拼贴,Video Outro Animations,OutroType,Free
报纸拼贴II,Video Outro Animations,OutroType,Free
拉丝滑出,Video Outro Animations,OutroType,Free
拼图,Video Outro Animations,OutroType,Free
探灯聚焦,Video Outro Animations,OutroType,Free
斜向拉丝,Video Outro Animations,OutroType,Free
旋转圆球,Video Outro Animations,OutroType,Free
晃动抽帧,Video Outro Animations,OutroType,Free
曝光放射,Video Outro Animations,OutroType,Free
枫叶遮罩,Video Outro Animations,OutroType,Free
模糊聚焦,Video Outro Animations,OutroType,Free
横向模糊,Video Outro Animations,OutroType,Free
水墨,Video Outro Animations,OutroType,Free
水滴遮罩,Video Outro Animations,OutroType,Free
油画描边变色,Video Outro Animations,OutroType,Free
波纹弹动,Video Outro Animations,OutroType,Free
流金,Video Outro Animations,OutroType,Free
滑片滑动,Video Outro Animations,OutroType,Free
烟雾弹,Video Outro Animations,OutroType,Free
照片回忆,Video Outro Animations,OutroType,Free
爱心碰撞,Video Outro Animations,OutroType,Free
玫瑰,Video Outro Animations,OutroType,Free
玻璃爆开,Video Outro Animations,OutroType,Free
画出爱心,Video Outro Animations,OutroType,Free
画面擦除,Video Outro Animations,OutroType,Free
砸出波纹,Video Outro Animations,OutroType,Free
空间扭曲,Video Outro Animations,OutroType,Free
立体交叉,Video Outro Animations,OutroType,Free
立体翻转,Video Outro Animations,OutroType,Free
立方合体,Video Outro Animations,OutroType,Free
竖向拼接,Video Outro Animations,OutroType,Free
粒子爱心,Video Outro Animations,OutroType,Free
翻卡,Video Outro Animations,OutroType,Free
老电视,Video Outro Animations,OutroType,Free
能量立方,Video Outro Animations,OutroType,Free
脉冲,Video Outro Animations,OutroType,Free
色散波纹,Video Outro Animations,OutroType,Free
荧光爆闪,Video Outro Animations,OutroType,Free
负片闪屏,Video Outro Animations,OutroType,Free
转圈圈,Video Outro Animations,OutroType,Free
迷幻流光,Video Outro Animations,OutroType,Free
金沙,Video Outro Animations,OutroType,Free
钱币遮罩,Video Outro Animations,OutroType,Free
镜面拆分,Video Outro Animations,OutroType,Free
闪屏,Video Outro Animations,OutroType,Free
闪现,Video Outro Animations,OutroType,Free
闪电分屏,Video Outro Animations,OutroType,Free
雪花遮罩,Video Outro Animations,OutroType,Free
震动波纹,Video Outro Animations,OutroType,Free
震波_III,Video Outro Animations,OutroType,Free
鞭炮遮罩,Video Outro Animations,OutroType,Free
音量大小,Video Outro Animations,OutroType,Free
飘散,Video Outro Animations,OutroType,Free
飞远,Video Outro Animations,OutroType,Free
马赛克,Video Outro Animations,OutroType,Free
魔法粒子I,Video Outro Animations,OutroType,Free
魔法粒子II,Video Outro Animations,OutroType,Free
黑白画中画,Video Outro Animations,OutroType,Free
