identifier,category,enum_type,description
_1998,Video Scene Effects,VideoSceneEffectType,Free
_70s,Video Scene Effects,VideoSceneEffectType,Free
_90s画质,Video Scene Effects,VideoSceneEffectType,Free
CCD闪光,Video Scene Effects,VideoSceneEffectType,Free
DV录制框,Video Scene Effects,VideoSceneEffectType,Free
DV界面,Video Scene Effects,VideoSceneEffectType,Free
I_Lose_You,Video Scene Effects,VideoSceneEffectType,Free
I_Love_You,Video Scene Effects,VideoSceneEffectType,Free
JVC,Video Scene Effects,VideoSceneEffectType,Free
List边框,Video Scene Effects,VideoSceneEffectType,Free
MV封面,Video Scene Effects,VideoSceneEffectType,Free
New_Year,Video Scene Effects,VideoSceneEffectType,Free
PS边框,Video Scene Effects,VideoSceneEffectType,Free
RGB描边,Video Scene Effects,VideoSceneEffectType,Free
VCR,Video Scene Effects,VideoSceneEffectType,Free
X_Signal,Video Scene Effects,VideoSceneEffectType,Free
X开幕,Video Scene Effects,VideoSceneEffectType,Free
betamax,Video Scene Effects,VideoSceneEffectType,Free
emoji钻石,Video Scene Effects,VideoSceneEffectType,Free
ins界面,Video Scene Effects,VideoSceneEffectType,Free
ins风放大镜,Video Scene Effects,VideoSceneEffectType,Free
kirakira,Video Scene Effects,VideoSceneEffectType,Free
ktv灯光,Video Scene Effects,VideoSceneEffectType,Free
ktv灯光_II,Video Scene Effects,VideoSceneEffectType,Free
windows弹窗关闭,Video Scene Effects,VideoSceneEffectType,Free
windows弹窗打开,Video Scene Effects,VideoSceneEffectType,Free
丁达尔光线,Video Scene Effects,VideoSceneEffectType,Free
万圣emoji,Video Scene Effects,VideoSceneEffectType,Free
万圣夜,Video Scene Effects,VideoSceneEffectType,Free
三屏,Video Scene Effects,VideoSceneEffectType,Free
三格漫画,Video Scene Effects,VideoSceneEffectType,Free
下雨,Video Scene Effects,VideoSceneEffectType,Free
不对劲,Video Scene Effects,VideoSceneEffectType,Free
不规则黑框,Video Scene Effects,VideoSceneEffectType,Free
两屏,Video Scene Effects,VideoSceneEffectType,Free
中枪了,Video Scene Effects,VideoSceneEffectType,Free
乌鸦飞过,Video Scene Effects,VideoSceneEffectType,Free
九屏,Video Scene Effects,VideoSceneEffectType,Free
九屏跑马灯,Video Scene Effects,VideoSceneEffectType,Free
五彩纸屑,Video Scene Effects,VideoSceneEffectType,Free
五彩缤纷,Video Scene Effects,VideoSceneEffectType,Free
亮片,Video Scene Effects,VideoSceneEffectType,Free
人鱼滤镜,Video Scene Effects,VideoSceneEffectType,Free
仙女变身,Video Scene Effects,VideoSceneEffectType,Free
仙女变身_II,Video Scene Effects,VideoSceneEffectType,Free
仙女棒,Video Scene Effects,VideoSceneEffectType,Free
仙尘闪闪,Video Scene Effects,VideoSceneEffectType,Free
低像素,Video Scene Effects,VideoSceneEffectType,Free
低像素_II,Video Scene Effects,VideoSceneEffectType,Free
倒计时_II,Video Scene Effects,VideoSceneEffectType,Free
像素画,Video Scene Effects,VideoSceneEffectType,Free
像素纹理,Video Scene Effects,VideoSceneEffectType,Free
光斑虚化,Video Scene Effects,VideoSceneEffectType,Free
光斑飘落,Video Scene Effects,VideoSceneEffectType,Free
光晕,Video Scene Effects,VideoSceneEffectType,Free
光晕_II,Video Scene Effects,VideoSceneEffectType,Free
全剧终,Video Scene Effects,VideoSceneEffectType,Free
六屏,Video Scene Effects,VideoSceneEffectType,Free
关月亮,Video Scene Effects,VideoSceneEffectType,Free
冰冷实验室,Video Scene Effects,VideoSceneEffectType,Free
冰霜,Video Scene Effects,VideoSceneEffectType,Free
冰霜_II,Video Scene Effects,VideoSceneEffectType,Free
冲击波,Video Scene Effects,VideoSceneEffectType,Free
冲刺,Video Scene Effects,VideoSceneEffectType,Free
冲刺_II,Video Scene Effects,VideoSceneEffectType,Free
冲刺_III,Video Scene Effects,VideoSceneEffectType,Free
冲屏闪粉,Video Scene Effects,VideoSceneEffectType,Free
凄凉,Video Scene Effects,VideoSceneEffectType,Free
几何图形,Video Scene Effects,VideoSceneEffectType,Free
刀光剑影,Video Scene Effects,VideoSceneEffectType,Free
分屏开幕,Video Scene Effects,VideoSceneEffectType,Free
初雪_I,Video Scene Effects,VideoSceneEffectType,Free
剪纸边框,Video Scene Effects,VideoSceneEffectType,Free
加载甜蜜,Video Scene Effects,VideoSceneEffectType,Free
动感模糊,Video Scene Effects,VideoSceneEffectType,Free
动感色卡,Video Scene Effects,VideoSceneEffectType,Free
动感荧光,Video Scene Effects,VideoSceneEffectType,Free
动感蓝带,Video Scene Effects,VideoSceneEffectType,Free
单色涂鸦,Video Scene Effects,VideoSceneEffectType,Free
南瓜光斑,Video Scene Effects,VideoSceneEffectType,Free
南瓜笑脸,Video Scene Effects,VideoSceneEffectType,Free
卷动,Video Scene Effects,VideoSceneEffectType,Free
原相机,Video Scene Effects,VideoSceneEffectType,Free
友友商店,Video Scene Effects,VideoSceneEffectType,Free
反转片_I,Video Scene Effects,VideoSceneEffectType,Free
发光,Video Scene Effects,VideoSceneEffectType,Free
取景框,Video Scene Effects,VideoSceneEffectType,Free
取景框_II,Video Scene Effects,VideoSceneEffectType,Free
变形了,Video Scene Effects,VideoSceneEffectType,Free
变彩色,Video Scene Effects,VideoSceneEffectType,Free
变清晰,Video Scene Effects,VideoSceneEffectType,Free
